,WSPD,GST,PRES,ATMP,WTMP,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,WDIR_sin,WDIR_cos
2022-07-05 19:00:00,2.77,6.5,1017.46,28.9,32.42,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.9659258262890684,0.2588190451025203,-0.6320293026648511,0.7749444887041794
2022-07-05 20:00:00,2.8600000000000003,3.9,1016.8100000000001,29.93,32.5,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.8660254037844386,0.5000000000000001,-0.19765734037912558,0.980271174621722
2022-07-05 21:00:00,3.7,5.4,1016.1800000000001,30.43,32.57,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.7071067811865477,0.7071067811865474,-0.17364817766693127,0.9848077530122079
2022-07-05 22:00:00,4.9799999999999995,6.2,1016.2299999999999,30.3,32.72,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.5000000000000004,0.8660254037844384,-0.08715574274765832,0.9961946980917455
2022-07-05 23:00:00,5.05,6.7,1016.2700000000001,30.25,32.83,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.25881904510252157,0.9659258262890681,-0.08715574274765832,0.9961946980917455
2022-07-06 00:00:00,4.903333333333333,6.3,1015.9100000000001,30.139999999999997,32.9,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.0,1.0,-0.08715574274765832,0.9961946980917455
2022-07-06 01:00:00,4.696666666666667,6.9,1016.36,29.639999999999997,32.9,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.25881904510252074,0.9659258262890683,-0.13744454603714684,-0.9905094632383088
2022-07-06 02:00:00,3.3899999999999997,5.5,1017.36,28.810000000000002,32.839999999999996,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.49999999999999994,0.8660254037844387,0.600420225325884,0.7996846584870906
2022-07-06 03:00:00,2.05,4.0,1017.7700000000001,28.6,32.769999999999996,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.7071067811865476,0.7071067811865476,0.9607791541575942,0.2773146533023777
2022-07-06 04:00:00,0.76,1.7,1017.6,28.57,32.7,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8829475928589271,-0.46947156278589053
2022-07-06 05:00:00,1.7,3.1,1017.0799999999999,28.46,32.6,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.9659258262890683,0.25881904510252074,0.9826127965436152,0.1856666153855772
2022-07-06 06:00:00,2.15,3.9,1016.72,28.18,32.54,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,1.0,6.123233995736766e-17,0.9018325264051138,0.4320857488019823
2022-07-06 07:00:00,2.75,4.9,1015.86,28.060000000000002,32.47,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.9659258262890683,-0.25881904510252063,0.9766722783341679,-0.2147353271670632
2022-07-06 08:00:00,2.7199999999999998,4.5,1015.8799999999999,27.95,32.4,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.8660254037844387,-0.4999999999999998,0.9905094632383088,0.13744454603714681
2022-07-06 09:00:00,2.6399999999999997,4.3,1016.04,27.9,32.3,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.7071067811865476,-0.7071067811865475,0.9372819894918916,-0.3485720473218152
2022-07-06 10:00:00,2.62,5.0,1016.3399999999999,27.589999999999996,32.25,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.49999999999999994,-0.8660254037844387,0.9163627295622396,-0.4003490325568948
2022-07-06 11:00:00,2.44,3.9,1016.6200000000001,27.919999999999998,32.17,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.258819045102521,-0.9659258262890682,0.9884938868086836,-0.15126082024721924
2022-07-06 12:00:00,2.65,3.9,1017.2299999999999,28.619999999999997,32.08,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,0.9939609554551797,-0.10973431109104502
2022-07-06 13:00:00,1.9300000000000002,3.6,1017.9,29.47,32.07,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.2588190451025208,-0.9659258262890683,0.9987193571841861,0.050592940076713555
2022-07-06 14:00:00,1.08,2.8,1018.04,30.46,32.04,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.4999999999999997,-0.8660254037844388,0.4524347093117829,-0.891797529605214
2022-07-06 15:00:00,2.3,3.3,1018.1299999999999,30.15,32.1,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.7071067811865471,-0.7071067811865479,-0.45087754068943114,0.8925858184521253
2022-07-06 16:00:00,3.5100000000000002,4.7,1018.1300000000001,29.6,32.260000000000005,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.8660254037844385,-0.5000000000000004,-0.9986295347545738,-0.052335956242944306
2022-07-06 17:00:00,2.41,5.4,1017.9399999999999,29.5,32.53,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.9659258262890683,-0.25881904510252063,-0.8553642601605066,-0.5180270093731303
2022-07-06 18:00:00,2.19,4.8,1017.0799999999999,29.880000000000003,32.6,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-1.0,-1.8369701987210297e-16,-0.9645574184577981,0.263873049965373
2022-07-06 19:00:00,4.13,5.8,1016.47,30.45,32.65,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.9659258262890684,0.2588190451025203,-0.14090123193758386,0.9900236577165574
2022-07-06 20:00:00,5.11,7.0,1015.8700000000001,30.639999999999997,32.67,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.8660254037844386,0.5000000000000001,-0.09063258019778007,0.9958843986159703
2022-07-06 21:00:00,6.16,7.3,1015.4100000000001,30.8,32.83,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.7071067811865477,0.7071067811865474,-0.08715574274765832,0.9961946980917455
2022-07-06 22:00:00,5.32,6.8,1015.1200000000001,30.96,32.989999999999995,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.5000000000000004,0.8660254037844384,-0.08715574274765832,0.9961946980917455
2022-07-06 23:00:00,3.55,5.5,1015.76,30.744999999999997,33.1,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,-0.25881904510252157,0.9659258262890681,-0.08715574274765832,0.9961946980917455
2022-07-07 00:00:00,3.206666666666667,9.1,1016.0799999999999,29.089999999999996,33.1,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.0,1.0,0.1604554532021541,-0.9870430829187201
2022-07-07 01:00:00,3.443333333333334,5.8,1016.1800000000001,27.330000000000002,33.07,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.25881904510252074,0.9659258262890683,0.37568516699320437,-0.9267473524652164
2022-07-07 02:00:00,2.44,4.5,1016.51,26.96,33.0,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.49999999999999994,0.8660254037844387,0.9055687990111397,-0.42419942274538996
2022-07-07 03:00:00,2.7,3.9,1017.0200000000001,27.02,32.97,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.7071067811865476,0.7071067811865476,0.9622179935292854,-0.27228024704057424
2022-07-07 04:00:00,2.45,4.1,1017.22,27.369999999999997,32.89,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.8660254037844386,0.5000000000000001,0.9323238012155123,-0.3616245700820921
2022-07-07 05:00:00,2.44,3.7,1016.9100000000001,27.560000000000002,32.8,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.9659258262890683,0.25881904510252074,0.9304175679820246,-0.3665012267242972
2022-07-07 06:00:00,3.07,4.7,1016.46,27.45,32.72,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,0.9494254776419039,-0.313992455967405
2022-07-07 07:00:00,2.95,4.7,1016.2700000000001,27.43,32.58,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.9659258262890683,-0.25881904510252063,0.9354440308298674,-0.35347484377925703
2022-07-07 08:00:00,3.4199999999999995,6.0,1016.36,27.060000000000002,32.5,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.8660254037844387,-0.4999999999999998,0.8642748019537047,-0.5030199466302351
2022-07-07 09:00:00,2.83,4.7,1016.53,27.110000000000003,32.46,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.7071067811865476,-0.7071067811865475,0.35020738125946754,-0.9366721892483976
2022-07-07 10:00:00,1.8800000000000001,3.0,1016.53,27.65,32.4,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.49999999999999994,-0.8660254037844387,0.49999999999999994,-0.8660254037844387
2022-07-07 11:00:00,2.2199999999999998,3.6,1016.49,27.610000000000003,32.4,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,0.258819045102521,-0.9659258262890682,0.9048270524660195,-0.4257792915650727
2022-07-07 12:00:00,1.73,3.2,1016.85,28.589999999999996,32.3,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,1.2246467991473532e-16,-1.0,0.24022804247726384,-0.9707164815781908
2022-07-07 13:00:00,3.3299999999999996,5.4,1017.3100000000001,29.05,32.3,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.2588190451025208,-0.9659258262890683,-0.6211477802783103,-0.7836934573258398
2022-07-07 14:00:00,5.01,6.6,1017.64,29.089999999999996,32.309999999999995,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.4999999999999997,-0.8660254037844388,-0.5358267949789964,-0.8443279255020152
2022-07-07 15:00:00,4.42,6.0,1017.93,29.359999999999996,32.4,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.7071067811865471,-0.7071067811865479,-0.6743023875837231,-0.7384553406258841
2022-07-07 16:00:00,4.3100000000000005,5.9,1018.01,29.619999999999997,32.42,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.8660254037844385,-0.5000000000000004,-0.8131007610470278,-0.5821229701572892
2022-07-07 17:00:00,4.89,6.4,1017.76,29.9,32.61,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.9659258262890683,-0.25881904510252063,-0.9198214973217377,-0.39233711660356146
2022-07-07 18:00:00,4.970000000000001,6.9,1017.35,30.05,32.730000000000004,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-1.0,-1.8369701987210297e-16,-0.9809551553491915,-0.19423435121997243
2022-07-07 19:00:00,4.88,6.7,1017.11,30.02,32.85,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.9659258262890684,0.2588190451025203,-0.9963452961909065,-0.08541692313736678
2022-07-07 20:00:00,3.5799999999999996,5.0,1016.57,29.96,32.8,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.8660254037844386,0.5000000000000001,-0.9947028171171742,0.10279253678724644
2022-07-07 21:00:00,3.5200000000000005,5.1,1016.2700000000001,30.130000000000003,32.8,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.7071067811865477,0.7071067811865474,-0.9986295347545738,-0.052335956242944306
